rt,coherence,decision,animal
435.0,0.0,1.0,0.0
392.0,256.0,1.0,0.0
513.0,32.0,1.0,0.0
420.0,256.0,1.0,0.0
598.0,64.0,1.0,0.0
294.0,128.0,0.0,0.0
692.0,64.0,1.0,0.0
259.0,512.0,1.0,0.0
508.0,0.0,1.0,0.0
497.0,0.0,1.0,0.0
345.0,32.0,1.0,0.0
289.0,128.0,1.0,0.0
290.0,512.0,1.0,0.0
301.0,256.0,1.0,0.0
320.0,256.0,1.0,0.0
721.0,64.0,1.0,0.0
569.0,32.0,1.0,0.0
267.0,128.0,1.0,0.0
563.0,32.0,1.0,0.0
287.0,64.0,1.0,0.0
321.0,256.0,1.0,0.0
269.0,128.0,1.0,0.0
293.0,512.0,1.0,0.0
315.0,64.0,1.0,0.0
526.0,128.0,1.0,0.0
615.0,0.0,0.0,0.0
406.0,256.0,1.0,0.0
257.0,32.0,1.0,0.0
720.0,0.0,0.0,0.0
264.0,512.0,1.0,0.0
531.0,0.0,0.0,0.0
682.0,128.0,1.0,0.0
796.0,32.0,0.0,0.0
329.0,256.0,1.0,0.0
289.0,256.0,1.0,0.0
294.0,512.0,1.0,0.0
530.0,32.0,1.0,0.0
622.0,64.0,1.0,0.0
834.0,0.0,0.0,0.0
851.0,128.0,1.0,0.0
638.0,64.0,1.0,0.0
277.0,512.0,1.0,0.0
376.0,32.0,0.0,0.0
539.0,128.0,1.0,0.0
693.0,128.0,1.0,0.0
448.0,32.0,1.0,0.0
286.0,256.0,1.0,0.0
345.0,512.0,1.0,0.0
586.0,0.0,1.0,0.0
512.0,64.0,1.0,0.0
802.0,0.0,0.0,0.0
286.0,256.0,1.0,0.0
926.0,64.0,0.0,0.0
315.0,512.0,1.0,0.0
610.0,128.0,1.0,0.0
602.0,64.0,1.0,0.0
704.0,0.0,1.0,0.0
901.0,32.0,1.0,0.0
581.0,256.0,1.0,0.0
297.0,256.0,1.0,0.0
687.0,128.0,1.0,0.0
419.0,64.0,1.0,0.0
789.0,32.0,0.0,0.0
420.0,0.0,1.0,0.0
278.0,512.0,1.0,0.0
324.0,128.0,1.0,0.0
294.0,64.0,1.0,0.0
409.0,0.0,1.0,0.0
268.0,512.0,1.0,0.0
374.0,256.0,1.0,0.0
285.0,0.0,1.0,0.0
459.0,256.0,1.0,0.0
569.0,32.0,1.0,0.0
326.0,512.0,1.0,0.0
494.0,32.0,1.0,0.0
600.0,64.0,1.0,0.0
683.0,128.0,1.0,0.0
272.0,512.0,1.0,0.0
328.0,64.0,1.0,0.0
336.0,256.0,1.0,0.0
339.0,128.0,1.0,0.0
363.0,32.0,0.0,0.0
491.0,128.0,1.0,0.0
388.0,0.0,0.0,0.0
683.0,64.0,1.0,0.0
551.0,0.0,1.0,0.0
421.0,256.0,1.0,0.0
312.0,512.0,1.0,0.0
414.0,32.0,1.0,0.0
332.0,32.0,0.0,0.0
316.0,256.0,1.0,0.0
552.0,128.0,1.0,0.0
519.0,32.0,1.0,0.0
272.0,512.0,1.0,0.0
287.0,64.0,1.0,0.0
288.0,256.0,1.0,0.0
285.0,128.0,1.0,0.0
764.0,0.0,1.0,0.0
351.0,0.0,1.0,0.0
286.0,64.0,1.0,0.0
237.0,512.0,1.0,0.0
268.0,32.0,1.0,0.0
292.0,128.0,0.0,0.0
533.0,64.0,1.0,0.0
254.0,256.0,1.0,0.0
507.0,32.0,1.0,0.0
284.0,512.0,1.0,0.0
342.0,64.0,1.0,0.0
297.0,256.0,1.0,0.0
307.0,512.0,1.0,0.0
728.0,0.0,0.0,0.0
629.0,128.0,1.0,0.0
383.0,0.0,1.0,0.0
303.0,512.0,1.0,0.0
270.0,256.0,1.0,0.0
513.0,128.0,1.0,0.0
264.0,512.0,1.0,0.0
287.0,32.0,1.0,0.0
290.0,64.0,1.0,0.0
726.0,128.0,1.0,0.0
625.0,0.0,1.0,0.0
402.0,64.0,1.0,0.0
531.0,32.0,1.0,0.0
556.0,0.0,1.0,0.0
295.0,256.0,1.0,0.0
499.0,64.0,1.0,0.0
685.0,32.0,1.0,0.0
314.0,256.0,1.0,0.0
541.0,0.0,1.0,0.0
533.0,32.0,0.0,0.0
819.0,128.0,1.0,0.0
454.0,128.0,1.0,0.0
830.0,0.0,0.0,0.0
415.0,64.0,0.0,0.0
305.0,512.0,1.0,0.0
457.0,256.0,1.0,0.0
321.0,512.0,1.0,0.0
478.0,0.0,1.0,0.0
571.0,32.0,1.0,0.0
316.0,512.0,1.0,0.0
368.0,64.0,1.0,0.0
315.0,256.0,1.0,0.0
248.0,512.0,1.0,0.0
293.0,64.0,0.0,0.0
349.0,128.0,1.0,0.0
511.0,0.0,1.0,0.0
478.0,32.0,1.0,0.0
578.0,0.0,1.0,0.0
381.0,256.0,1.0,0.0
592.0,32.0,0.0,0.0
805.0,64.0,0.0,0.0
654.0,0.0,1.0,0.0
442.0,256.0,1.0,0.0
434.0,128.0,1.0,0.0
754.0,32.0,1.0,0.0
845.0,64.0,0.0,0.0
272.0,512.0,1.0,0.0
270.0,512.0,1.0,0.0
543.0,128.0,1.0,0.0
311.0,256.0,1.0,0.0
325.0,0.0,0.0,0.0
551.0,64.0,1.0,0.0
522.0,0.0,0.0,0.0
518.0,128.0,1.0,0.0
264.0,512.0,1.0,0.0
548.0,64.0,1.0,0.0
382.0,128.0,1.0,0.0
401.0,32.0,0.0,0.0
447.0,32.0,1.0,0.0
382.0,256.0,1.0,0.0
278.0,512.0,1.0,0.0
565.0,32.0,0.0,0.0
650.0,128.0,1.0,0.0
630.0,64.0,1.0,0.0
594.0,64.0,1.0,0.0
260.0,512.0,1.0,0.0
476.0,256.0,1.0,0.0
403.0,256.0,1.0,0.0
278.0,512.0,1.0,0.0
297.0,0.0,0.0,0.0
361.0,128.0,1.0,0.0
473.0,0.0,0.0,0.0
326.0,256.0,1.0,0.0
513.0,64.0,1.0,0.0
358.0,256.0,1.0,0.0
430.0,0.0,0.0,0.0
498.0,128.0,1.0,0.0
313.0,32.0,1.0,0.0
302.0,512.0,1.0,0.0
259.0,512.0,1.0,0.0
474.0,32.0,1.0,0.0
574.0,64.0,1.0,0.0
439.0,32.0,0.0,0.0
970.0,64.0,0.0,0.0
426.0,0.0,0.0,0.0
255.0,256.0,1.0,0.0
263.0,512.0,1.0,0.0
329.0,0.0,1.0,0.0
294.0,512.0,1.0,0.0
517.0,128.0,1.0,0.0
811.0,32.0,1.0,0.0
330.0,256.0,1.0,0.0
620.0,64.0,1.0,0.0
381.0,128.0,1.0,0.0
286.0,512.0,1.0,0.0
348.0,0.0,0.0,0.0
674.0,128.0,1.0,0.0
361.0,64.0,1.0,0.0
385.0,256.0,1.0,0.0
554.0,32.0,0.0,0.0
490.0,0.0,0.0,0.0
388.0,512.0,1.0,0.0
796.0,32.0,1.0,0.0
